Country,Category,Index,种族表征,性别,年龄,体格,服装,专业道具,等级标识,表情庄重度,姿态开放性,视线方向,面部表情,情绪强度,疲惫感表征,肢体紧张度,手势含义,团队中心性,互动亲密性,场景类型,医疗科技水平,环境秩序与卫生,国家符号,传统符号,现代戏叙事,拍摄视角,用光风格,色彩基调,景别,
China,Nurse,4,亚洲人,女,青年,匀称,白色护士服（红领红袖）+护士帽,听诊器,姓名牌,70,收敛,直视观众,4,"快乐: 40, 悲伤: 0, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
China,Team,1,亚洲人,混合,中年,匀称,标准白大褂 + 口罩,名字牌、听诊器,姓名牌,60,收敛,望向患者/同事,3,"快乐: 20, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,平等协作,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
China,Team,2,亚洲人,混合,中年,匀称,白大褂（男）+ 粉色护士服（女）,听诊器、姓名牌,姓名牌,70,收敛,直视观众,3,"快乐: 30, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,有明确中心人物,远距离,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,全景,
China,Team,3,亚洲人,混合,中年,匀称,防护服（白色）+ 口罩 + 手套,名字牌、听诊器,姓名牌,80,收敛,望向患者/同事,2,"快乐: 0, 悲伤: 40, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,无中心（集体群像）,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
China,Team,4,亚洲人,混合,青年/中年,匀称,手术服（蓝/绿）+ 口罩 + 手套,注射器、试管、标签,无,75,收敛,望向远方/不确定,3,"快乐: 0, 悲伤: 50, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,无中心（集体群像）,近距离无接触,实验室,高科技密集,普通整洁,无,无,纯粹西方现代,俯拍,自然光,冷色调,全景,
China,Emergance,1,亚洲人,男,中年,清瘦,标准白大褂+姓名牌,听诊器、姓名牌,姓名牌,80,收敛,直视观众,3,"快乐:0, 悲伤:25, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、眼袋,中性,医生平视,有明确中心人物,远距离,灾难现场,基础医疗设备,杂乱/艰苦,无,无,传统与现代混合,仰拍,自然光,灰暗色调,全景,
China,Emergance,2,亚洲人,男,中年,匀称,标准白大褂+手术帽+口罩,听诊器、手机、笔,姓名牌,75,收敛,望向患者/同事,3,"快乐:0, 悲伤:20, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼袋、胡须,中性,医生俯视,有明确中心人物,近距离无接触,社区诊所,基础医疗设备,普通整洁,无,无,传统与现代混合,平视,自然光,冷色调,中景,
China,Emergance,3,亚洲人,男,中年,匀称,标准白大褂,听诊器、姓名牌,姓名牌,70,收敛,望向患者/同事,3,"快乐:0, 悲伤:25, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、黑眼圈,中性,医生平视,有明确中心人物,近距离无接触,社区诊所,基础医疗设备,普通整洁,无,无,传统与现代混合,平视,自然光,冷色调,中景,
China,Emergance,4,亚洲人,女,中年,匀称,标准白大褂,病历夹、电脑,姓名牌,65,收敛,望向患者/同事,3,"快乐:0, 悲伤:25, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼袋、胡须,中性,医生平视,有明确中心人物,近距离无接触,社区诊所,基础医疗设备,普通整洁,无,无,传统与现代混合,平视,自然光,冷色调,中景,
Egypt,Doctor,1,中东人,女,中年,匀称,白大褂 + 花色头巾,口罩、笔、纸张,工牌,70,收敛,望向文件,3,"快乐:10, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼袋、皱纹,中性,其他：写字,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,宗教符号,传统与现代混合,平视,自然光,暖色调,中景,
Egypt,Doctor,2,中东人,男,老年,匀称,白大褂 + 条纹衬衫,口罩、眼镜、计算器,姓名牌、工具包,80,收敛,望向同事/文件,3,"快乐:5, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、胡须灰白,中性,其他：使用键盘,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,宗教符号,传统与现代混合,平视,自然光,暖色调,近景,
Egypt,Doctor,3,中东人,男,老年,匀称,白大褂 + 花纹领带,口罩、笔、笔记本,工牌、胸卡,75,收敛,望向笔记,2,"快乐:10, 悲伤:20, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼袋、皱纹,中性,其他：写字,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,宗教符号,传统与现代混合,平视,自然光,暖色调,中景,
Egypt,Doctor,4,中东人,女,中年,匀称,白大褂 + 红色花纹头巾,无,工牌（含英文“HealthCare”）,85,收敛,直视观众,2,"快乐:30, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹,放松,无,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,宗教符号,传统与现代混合,平视,自然光,暖色调,特写,
Egypt,Nurse,1,中东人,女,中年,匀称,护士服（粉色）+头巾,听诊器,姓名牌,85,收敛,直视观众,2,"快乐: 0, 悲伤: 30, 愤怒: 0, 恐惧: 20, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,伊斯兰头巾,传统与现代混合,平视,自然光,冷色调,中景,
Egypt,Nurse,2,中东人,女,青年,匀称,白色衣物+头巾,无,无,90,收敛,直视观众,2,"快乐: 0, 悲伤: 40, 恐惧: 30, 愤怒: 0, 惊讶: 0, 厌恶: 0",无,紧张,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,伊斯兰头巾,传统与现代混合,特写,舞台聚光,冷色调,特写,
Egypt,Nurse,3,中东人,女,老年,清瘦,花纹衬衫+护士帽,听诊器,无,75,收敛,直视观众,3,"快乐: 0, 悲伤: 20, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",皱纹,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,杂乱/艰苦,无,伊斯兰头巾,传统与现代混合,平视,昏暗光,灰暗色调,近景,
Egypt,Nurse,4,中东人,女,青年,匀称,护士服（粉色）+蓝色头巾,无,无,80,收敛,直视观众,3,"快乐: 0, 悲伤: 10, 恐惧: 10, 愤怒: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,远距离,现代化医院,基础医疗设备,普通整洁,无,伊斯兰头巾,传统与现代混合,平视,自然光,冷色调,全景,
Egypt,Team,1,白人/阿拉伯裔,混合,中年/老年,匀称,白大褂 + 便装 + 头巾（女性）,名字牌、听诊器,姓名牌,60,收敛,直视观众,3,"快乐: 30, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,有明确中心人物,远距离,现代化医院,基础医疗设备,普通整洁,无,伊斯兰头巾,传统与现代混合,平视,自然光,暖色调,全景,
Egypt,Team,2,白人/阿拉伯裔,混合,老年,清瘦,白大褂 + 头巾（女性）,听诊器、笔记本电脑,姓名牌,80,收敛,望向患者/同事,2,"快乐: 0, 悲伤: 40, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹,中性,医生俯视,有明确中心人物,有身体接触,现代化医院,基础医疗设备,普通整洁,无,伊斯兰头巾,传统与现代混合,仰拍,自然光,冷色调,中景,
Egypt,Team,3,白人/阿拉伯裔,混合,中年,匀称,白大褂 + 护士服 + 头巾（女性）,听诊器、姓名牌,姓名牌,50,开放,直视观众,5,"快乐: 60, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生位置更低,平等协作,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,伊斯兰头巾,传统与现代混合,平视,自然光,暖色调,全景,
Egypt,Team,4,白人/阿拉伯裔,混合,中年,匀称,白大褂 + 便装,听诊器、姓名牌,姓名牌,55,收敛,直视观众,4,"快乐: 40, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,伊斯兰头巾,传统与现代混合,平视,自然光,暖色调,中景,
Egypt,Emergance,1,混血,男,中年,匀称,标准白大褂+口罩,听诊器、姓名牌,姓名牌,85,收敛,望向患者/同事,3,"快乐:0, 悲伤:25, 愤怒:0, 恐惧:15, 惊讶:0, 厌恶:0",眼袋、胡须,紧张,医生俯视,有明确中心人物,有身体接触,现代化医院,基础医疗设备,杂乱/艰苦,无,宗教符号,传统与现代混合,平视,昏暗光,灰暗色调,中景,
Egypt,Emergance,2,混血,男,老年,清瘦,手术服+口罩,无,无,70,收敛,望向远方/不确定,3,"快乐:0, 悲伤:30, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、白发,放松,医生位置更低,有明确中心人物,远距离,现代化医院,基础医疗设备,普通整洁,无,宗教符号,传统与现代混合,平视,自然光,灰暗色调,中景,
Egypt,Emergance,3,混血,女,老年,匀称,民族传统服饰（头巾+长袍）,病历夹,无,65,收敛,直视观众,3,"快乐:0, 悲伤:35, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、眼袋,中性,医生平视,有明确中心人物,近距离无接触,社区诊所,设备简陋或缺失,杂乱/艰苦,无,宗教符号,突出传统方式,平视,昏暗光,灰暗色调,近景,
Egypt,Emergance,4,混血,男,老年,清瘦,便装+白大褂（破损）,听诊器、笔袋、姓名牌,姓名牌,80,收敛,望向患者/同事,3,"快乐:0, 悲伤:20, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、黑眼圈,中性,医生俯视,有明确中心人物,近距离无接触,社区诊所,设备简陋或缺失,杂乱/艰苦,无,宗教符号,突出传统方式,平视,昏暗光,灰暗色调,中景,
England,Doctor,1,白人,混合,中年,匀称,白大褂,听诊器、电脑、实验器材,姓名牌、工牌,60,收敛,望向同事/设备,3,"快乐:10, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,其他：书写、操作,无中心（集体群像）,近距离无接触,实验室,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,全景,
England,Doctor,2,白人,男,青年,匀称,短袖白大褂 + 红色挂绳,听诊器、胸牌（红十字徽章）,有红十字徽章、工牌,40,开放,直视观众,5,"快乐:80, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,红十字标志,无,纯粹西方现代,平视,舞台聚光,暖色调,特写,
England,Doctor,3,白人,混合,老年/中年,清瘦,白大褂 + 护士帽,显微镜、实验仪器,无,90,收敛,望向远方/不确定,2,"快乐:0, 悲伤:20, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、眼袋,中性,无,有明确中心人物,远距离,实验室,设备简陋或缺失,普通整洁,无,无,突出传统方式,平视,昏暗光,灰暗色调,中景,
England,Doctor,4,白人,男,中年,匀称,白大褂 + 灰色衬衫,听诊器、笔、工牌,工牌,75,收敛,直视观众,3,"快乐:10, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹,中性,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
England,Nurse,1,白人,女,中年,匀称,白色护士服+护士帽,听诊器,无,85,收敛,直视观众,2,"快乐: 0, 悲伤: 20, 恐惧: 10, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,灰暗色调,特写,
England,Nurse,2,白人,女,青年,匀称,白色护士服+护士帽,无,无,70,收敛,望向患者/同事,3,"快乐: 0, 悲伤: 30, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,有身体接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,仰拍,舞台聚光,灰暗色调,中景,
England,Nurse,3,白人,女,青年,匀称,白色护士服+护士帽,无,无,60,收敛,直视观众,4,"快乐: 40, 悲伤: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,暖色调,近景,
England,Nurse,4,白人,女,青年,匀称,蓝白护士服+护士帽,无,姓名牌,75,收敛,直视观众,4,"快乐: 30, 悲伤: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
England,Team,1,白人/黑人,混合,中年,匀称,手术服（蓝/绿）,名字牌、听诊器,姓名牌,50,开放,直视观众,5,"快乐: 70, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生位置更低,平等协作,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,全景,
England,Team,2,白人,混合,中年/老年,匀称,手术服（深蓝）,听诊器、姓名牌,姓名牌,80,收敛,直视观众,2,"快乐: 0, 悲伤: 40,愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,有明确中心人物,远距离,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,全景,
England,Team,3,白人,混合,中年,匀称,手术服（蓝色）,名字牌、笔袋,姓名牌,40,开放,望向患者/同事,5,"快乐: 60, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生位置更低,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,中景,
England,Team,4,白人,混合,中年,匀称,手术服（蓝/绿）,听诊器、名字牌,姓名牌,70,收敛,望向患者/同事,3,"快乐: 0, 悲伤: 30,愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,无中心（集体群像）,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
England,Emergance,1,白人,女,中年,匀称,手术服+口罩+听诊器,听诊器、姓名牌,姓名牌,85,收敛,直视观众,3,"快乐:0, 悲伤:20, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼袋、胡须,中性,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,英国国旗,无,纯粹西方现代,平视,自然光,冷色调,近景,
England,Emergance,2,白人,男,中年,匀称,手术服+手术帽+口罩,手术器械、手套,无,90,收敛,直视观众,3,"快乐:0, 悲伤:25, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼周紧绷,紧张,医生俯视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,英国国旗,无,纯粹西方现代,仰拍,舞台聚光,冷色调,特写,
England,Emergance,3,白人,男,中年,匀称,标准白大褂+口罩,听诊器、红十字标志,姓名牌,80,收敛,直视观众,3,"快乐:0, 悲伤:25, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、黑眼圈,中性,医生平视,有明确中心人物,远距离,现代化医院,高科技密集,高度整洁,红十字标志,无,纯粹西方现代,仰拍,舞台聚光,冷色调,全景,
England,Emergance,4,白人,男,中年,匀称,便装+白大褂,听诊器、姓名牌,姓名牌,75,收敛,直视观众,3,"快乐:0, 悲伤:25, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼袋、胡须,中性,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
France,Doctor,1,白人,女,中年,匀称,手术服 + 头套 + 口罩,笔记本电脑,无,75,收敛,直视观众,4,"快乐:20, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼袋,中性,其他：使用键盘,有明确中心人物,近距离无接触,实验室,高科技密集,杂乱/艰苦,无,无,传统与现代混合,平视,昏暗光,灰暗色调,中景,
France,Doctor,2,白人,男,老年,清瘦,短袖白大褂,名牌、笔,姓名牌,90,收敛,直视观众,2,"快乐:0, 悲伤:10, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、胡须灰白,中性,医生平视,有明确中心人物,远距离,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,全景,
France,Doctor,3,白人,混合,中年,匀称,白大褂 + 护士帽 + 口罩,听诊器、文件、手术灯,无,85,收敛,望向远方/不确定,2,"快乐:0, 悲伤:30, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、黑眼圈,紧张,无,有明确中心人物,近距离无接触,手术室,设备简陋或缺失,杂乱/艰苦,无,无,突出传统方式,仰拍,昏暗光,灰暗色调,中景,
France,Doctor,4,白人,女,青年,匀称,手术服 + 头套 + 口罩,无,无,95,收敛,直视观众,3,"快乐:0, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,无,有明确中心人物,近距离无接触,手术室,高科技密集,高度整洁,无,无,纯粹西方现代,平视,舞台聚光,冷色调,特写,
France,Nurse,1,白人,女,中年,匀称,护士服（米色长袍）+头巾,无,无,75,收敛,望向患者/同事,3,"快乐: 0, 悲伤: 20, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
France,Nurse,2,白人,女,中年,匀称,白色长裙+头巾,无,无,80,收敛,直视观众,2,"快乐: 0, 悲伤: 30, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,远距离,现代化医院,基础医疗设备,普通整洁,无,伊斯兰头巾,传统与现代混合,平视,自然光,冷色调,全景,
France,Nurse,3,白人,女,青年,匀称,护士服（蓝色）+花色头巾,听诊器,姓名牌,85,收敛,直视观众,2,"快乐: 0, 悲伤: 30, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
France,Nurse,4,白人,女,青年,匀称,护士服（蓝色）+手术帽,注射器、输液管,无,90,收敛,望向患者/同事,3,"快乐: 0, 悲伤: 20, 恐惧: 10, 惊讶: 0, 厌恶: 0",无,紧张,医生俯视,有明确中心人物,有身体接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
France,Team,1,白人/黑人,混合,中年,匀称,防护服 + 口罩 + 护目镜,名字牌、听诊器,姓名牌,85,收敛,直视观众,2,"快乐: 0, 悲伤: 50,愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼袋、皱纹,紧张,医生位置更低,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,昏暗光,冷色调,全景,
France,Team,2,白人,混合,中年,匀称,手术服 + 口罩,电脑、键盘、鼠标,姓名牌,60,收敛,望向患者/同事,3,"快乐: 20, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,无中心（集体群像）,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
France,Team,3,白人/非裔,混合,中年,匀称,手术服,姓名牌、听诊器,姓名牌,70,收敛,直视观众,3,"快乐: 30, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,全景,
France,Team,4,白人,混合,中年,匀称,手术服,听诊器、姓名牌,姓名牌,65,收敛,望向患者/同事,3,"快乐: 25, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,平等协作,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
France,Emergance,1,白人,男,中年,匀称,手术服+面屏+口罩,听诊器、姓名牌,姓名牌,85,收敛,望向患者/同事,3,"快乐:0, 悲伤:20, 愤怒:0, 恐惧:15, 惊讶:0, 厌恶:0",眼周紧绷,紧张,医生位置更低,有明确中心人物,有身体接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
France,Emergance,2,白人,男,中年,匀称,便装+白大褂,听诊器、姓名牌,姓名牌,70,收敛,直视观众,3,"快乐:0, 悲伤:25, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼袋、胡须,中性,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
France,Emergance,3,白人,男,老年,清瘦,手术服+手术帽+口罩,听诊器、姓名牌,姓名牌,75,收敛,直视观众,3,"快乐:0, 悲伤:25, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、黑眼圈,紧张,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
France,Emergance,4,白人,女,中年,匀称,手术服+口罩,听诊器、姓名牌,姓名牌,70,收敛,直视观众,3,"快乐:0, 悲伤:25, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",眼袋、胡须,中性,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
Germany,Doctor,1,白人,男,老年,匀称,白大褂 + 领带,名牌,姓名牌,80,收敛,望向远方/不确定,3,"快乐:0, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、眼袋,中性,无,有明确中心人物,远距离,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
Germany,Doctor,2,白人,女,中年,匀称,手术服 + 头套 + 口罩 + 护目镜,电脑、键盘、显示器,无,75,收敛,直视观众,3,"快乐:10, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,其他：使用键盘,有明确中心人物,近距离无接触,实验室,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
Germany,Doctor,3,白人,男,中年,匀称,黑色手术服,笔、文件,无,40,开放,直视观众,5,"快乐:70, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,其他：写字,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,近景,
Germany,Doctor,4,白人,男,老年,匀称,白大褂 + 灰色衬衫,听诊器、工牌,工牌,65,开放,直视观众,5,"快乐:60, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹,放松,医生平视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,近景,
Germany,Nurse,1,白人,女,青年,匀称,护士服（粉色）+围裙,听诊器,姓名牌,70,收敛,直视观众,4,"快乐: 40, 悲伤: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,近景,
Germany,Nurse,2,白人,女,青年,匀称,护士服（米色）+帽子,电话,无,65,收敛,望向患者/同事,3,"快乐: 0, 悲伤: 20, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
Germany,Nurse,3,白人,女,青年,匀称,护士服（白色）+护士帽,听诊器,无,80,收敛,直视观众,2,"快乐: 0, 悲伤: 30, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,放松,医生俯视,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
Germany,Nurse,4,白人,女,青年,匀称,护士服（蓝色）,监护仪屏幕,姓名牌,75,收敛,望向患者/同事,3,"快乐: 0, 悲伤: 10, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,紧张,医生俯视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
Germany,Team,1,白人,混合,中年,匀称,护士服（白色）+ 手术服（蓝/灰）,听诊器、姓名牌,姓名牌,40,开放,直视观众,5,"快乐: 80, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生位置更低,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,舞台聚光,暖色调,近景,
Germany,Team,2,白人,混合,中年,匀称,手术服（蓝色）,听诊器、姓名牌,姓名牌,50,开放,直视观众,5,"快乐: 70, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生位置更低,平等协作,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,全景,
Germany,Team,3,白人,女,中年,匀称,手术服（蓝色）,姓名牌、笔袋,姓名牌,60,收敛,望向患者/同事,3,"快乐: 30, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,无中心（集体群像）,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
Germany,Team,4,白人,混合,中年,匀称,白大褂 + 手术服,听诊器、姓名牌,姓名牌,50,开放,直视观众,5,"快乐: 70, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生位置更低,平等协作,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,全景,
Germany,Emergance,1,白人,男,中年,匀称,手术服,听诊器,无,85,收敛,直视观众,3,"快乐: 20, 悲伤: 0, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,中性,医生俯视,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,特写,
Germany,Emergance,2,白人,男,中年,匀称,手术服,手术器械,无,90,收敛,直视观众,3,"快乐: 10, 悲伤: 0, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,紧张,医生位置更低,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,仰拍,舞台聚光,冷色调,近景,
Germany,Emergance,3,白人,男,老年,清瘦,手术服,无,无,70,收敛,望向患者/同事,2,"快乐: 0, 悲伤: 50, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",眼袋、黑眼圈、皱纹,放松,医生俯视,无中心（集体群像）,远距离,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,俯拍,昏暗光,灰暗色调,全景,
